id	subid	F	F_entropy	F_enthalpy	F_freedna
chr9:114504803-114505133|pooled_peak_27250|66	0	1846.0259859744287	1784.2956725041604	61.73031347026824	1629.1427755840868
chr9:114504803-114505133|pooled_peak_27250|66	1	1847.145608230346	1785.484455237398	61.66115299294794	1630.5441165496427
chr9:114504803-114505133|pooled_peak_27250|66	2	1849.3404826118956	1786.6049856437521	62.73549696814354	1631.3152195214443
chr9:114504803-114505133|pooled_peak_27250|66	3	1848.9547138774244	1785.3873614882864	63.56735238913812	1630.296264298488
chr9:114504803-114505133|pooled_peak_27250|66	4	1851.6599366651944	1787.1306737003456	64.52926296484881	1632.0377801742852
chr9:114504803-114505133|pooled_peak_27250|66	5	1850.3414744401416	1786.2452611731503	64.0962132669913	1631.6513555153097
chr9:114504803-114505133|pooled_peak_27250|66	6	1850.7571165456102	1787.6890050890186	63.068111456591566	1632.759139655987
chr9:114504803-114505133|pooled_peak_27250|66	7	1852.694523858396	1788.6257022547356	64.0688216036604	1633.392871391105
chr9:114504803-114505133|pooled_peak_27250|66	8	1853.291559866807	1788.2842042664956	65.00735560031121	1633.1004381149592
chr9:114504803-114505133|pooled_peak_27250|66	9	1851.0695838885522	1787.5212290047566	63.54835488379547	1631.9926539742814
chr9:114504803-114505133|pooled_peak_27250|66	10	1848.270833864193	1787.168165950051	61.102667914142174	1631.9926539742814
chr9:114504803-114505133|pooled_peak_27250|66	11	1848.0350637897232	1787.553034201878	60.482029587845076	1632.6540363885265
chr9:114504803-114505133|pooled_peak_27250|66	12	1850.2398307606102	1788.2493845412016	61.990446219408476	1632.9464696646728
chr9:114504803-114505133|pooled_peak_27250|66	13	1851.0513357569182	1787.7272419062149	63.324093850703356	1632.3127379295547
chr9:114504803-114505133|pooled_peak_27250|66	14	1851.8022146700173	1788.5403622465835	63.261852423433716	1633.304042473383
chr9:114504803-114505133|pooled_peak_27250|66	15	1848.63062439239	1787.1530983923058	61.477526000084175	1632.670310738265
chr9:114504803-114505133|pooled_peak_27250|66	16	1849.1653240002943	1787.1777493022025	61.987574698091684	1632.3127379295547
chr9:114504803-114505133|pooled_peak_27250|66	17	1851.0480522853886	1787.5475828399083	63.500469445480455	1632.6051712057006
chr9:114504803-114505133|pooled_peak_27250|66	18	1853.088440813332	1789.205934036147	63.882506777185085	1634.346687081496
chr9:114504803-114505133|pooled_peak_27250|66	19	1853.1458441864727	1789.7601255535687	63.38571863290405	1634.6391203576422
chr9:114504803-114505133|pooled_peak_27250|66	20	1854.2423442451745	1790.6564161935569	63.58592805161761	1635.6580755805985
